term,category,source_cq,notes
VerificationLane,class,CQ-001,"a named validation surface: turbo task, script, or collected gate"
LaneKind,class,CQ-001,"TurboTaskLane | ScriptLane | CollectedGateLane"
WorkUnit,class,CQ-002,"Lane x Scope — the scheduling quantum; the SPECIFICATION side of the ruled spec/execution split (occurrences are WorkUnitExecution); charge-bounded by grant admission (CQ-010)"
Scope,class,CQ-002,"tagged union: FullRepoScope | AffectedScope | FilterScope | ShardScope"
VerificationEpisode,class,CQ-002,"red streak -> certainty; the KPI's unit of account; spans attempts"
AssuranceTier,class,CQ-002,"TierRepairGreen | TierLocalFullProof | TierCiMergeGreen; RENAMED from CertaintyTier (final grill Q4) — vernacular altLabel 'certainty tier'"
CostEstimate,class,CQ-003,"p50/p95 wall ms + memory class + provenance per (lane, package); estimates are immutable snapshots — revisions mint new individuals (round-3 H W-05)"
MemoryClass,class,CQ-003,"coarse memory demand bucket for grant packing"
CostProvenance,class,CQ-003,"measured | census | default"
ChangeSet,class,CQ-004,"a diff/event against a base tree"
PackageRef,class,CQ-004,"@beep/* workspace package identity"
VerificationEvidence,class,CQ-005,"a lane result valid for CacheEpoch x TreeState; RENAMED from Proof (final grill Q4 — reasoner-facing names must be category-honest: evidence, not truth) — vernacular altLabels 'proof', 'full proof', 'proof lock' (on the contended-resource individual)"
CacheEpoch,class,CQ-005,"the hash-world evidence lives in; epoch change = invalidation event"
TreeState,class,CQ-005,"a concrete tree (branch, head, merged-base state)"
InvalidationEvent,class,CQ-011,"a change that kills evidence validity; carries a blast radius"
HashSurface,class,CQ-011,"the input set feeding a lane's hash (incl. global.inputs membership)"
SeatRequest,class,CQ-021,"an agent's queued ask for machine admission; DEPLOYED carrier = YeetAdmissionTicket (yeet-admission-ticket/v1); the ticket half of the ruled ticket/lease split; an ingested SeatRequest IS a queued ticket (the store deletes the ticket at admission — round-3 H-05/J-B4)"
SeatGrant,class,CQ-008,"an admitted lease charged against capacity; DEPLOYED carrier = YeetAdmissionLease (yeet-admission-lease/v1); the lease half of the ruled ticket/lease split; NO stored edge to its ticket (linkage = lease filename stem nonce-pid only); lifecycle in GrantState"
GrantState,class,CQ-008,"grant lifecycle state; closed domain: ActiveGrant | ReleasedGrant (WaitingGrant REMOVED round-3 H-10 — a waiting contender is a SeatRequest under the split; see literal-domains.md)"
ResourceBudget,class,CQ-026,"advisory per-grant budget (softP95BudgetMs); demoted from hard-limit framing by the tri-split ruling"
ContendedResource,class,CQ-008,"contended machine resource; members are INDIVIDUALS (MachineProofLock, TurboDaemonResource, CpuCoresResource, MemoryPoolResource, SharedCacheResource) — no punning with class SharedCache; see literal-domains.md"
Checkout,class,CQ-015,"one clone/worktree; evidence-transferability endpoint (shared cache mounts). NOT an exclusion unit — the deployed admission law is ORIGIN-keyed (round-3 H-04/J-B3); checkoutRoot is a lease owner attribute S4 may re-propose with a warrant"
