file	package	origin	assertions_summary	unique_type_assertions	runtime_coverage	evidence	verdict	notes
apps/architecture-lab-proof/dtslint/ArchitectureLabProof.tst.ts	@beep/architecture-lab-proof	generated	Smoke-checks that runArchitectureLabProof is exported and not never.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:724,apps/architecture-lab-proof/test/ArchitectureLabProof.test.ts	safe-delete	Exact generator-template entry at manifest lines 724-729; ordinary import compilation and runtime proof cover the smoke assertion.
packages/agents/client/dtslint/Chat.tst.ts	@beep/agents-client	handwritten	Checks root/subpath export parity, public atoms/models, resolveChatRpcHttpUrl return, TurnRequest send|edit discriminant, and a requirement-free observability Layer.	yes	partial	packages/agents/client/dtslint/Chat.tst.ts:19,packages/agents/client/dtslint/Chat.tst.ts:23,packages/agents/client/dtslint/Chat.tst.ts:26,packages/agents/client/test/Chat.layer.test.ts,packages/agents/client/test/Chat.schema-parity.test.ts	review	Port the TurnRequest discriminant and Layer.Layer<never> assertions; runtime tests do not pin those inferred types.
packages/agents/domain/dtslint/AgentsDomain.tst.ts	@beep/agents-domain	handwritten	Pins AgentMode, Agent identity/table/entity metadata, persisted field metadata, model field type, constructor type, and root/subpath assistant-content parity.	yes	partial	packages/agents/domain/dtslint/AgentsDomain.tst.ts:12,packages/agents/domain/dtslint/AgentsDomain.tst.ts:16,packages/agents/domain/dtslint/AgentsDomain.tst.ts:19,packages/agents/domain/test/AgentsDomain.test.ts	review	Port literal mode plus identity/persistence metadata assertions; constructor and self-Encoded checks are redundant.
packages/agents/server/dtslint/AgentsServer.tst.ts	@beep/agents-server	handwritten	Restates initialScanState and scanChunk tuple return types.	no	covered	packages/agents/server/dtslint/AgentsServer.tst.ts:5,packages/agents/server/test/scanChunk.test.ts	safe-delete	Compile-only-redundant signatures with direct runtime coverage.
packages/agents/use-cases/dtslint/ProfessionalRuntime.tst.ts	@beep/agents-use-cases	handwritten	Pins public schema constructors/decoder, fixture runner success/error types, and SDK facade method success/error channels.	yes	partial	packages/agents/use-cases/dtslint/ProfessionalRuntime.tst.ts:27,packages/agents/use-cases/dtslint/ProfessionalRuntime.tst.ts:33,packages/agents/use-cases/dtslint/ProfessionalRuntime.tst.ts:42,packages/agents/use-cases/test/ProfessionalRuntime.test.ts	review	Port fixture and SDK Effect error-channel assertions; runtime behavior does not preserve inferred E types.
packages/architecture-lab/client/dtslint/WorkItemClient.tst.ts	@beep/architecture-lab-client	generated	Smoke-checks makeWorkItemClient is not never.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:672,packages/architecture-lab/client/test/WorkItemClient.test.ts	safe-delete	Generator boilerplate; manifest lines 672-676 name the template.
packages/architecture-lab/config/dtslint/WorkItemConfig.tst.ts	@beep/architecture-lab-config	generated	Checks a WorkItemPublicConfig constructor result.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:572,packages/architecture-lab/config/test/WorkItemConfig.test.ts	safe-delete	Generated constructor smoke test; compile-only redundant.
packages/architecture-lab/domain/dtslint/Worker.tst.ts	@beep/architecture-lab-domain	generated	Constructs Worker and checks Worker plus status types.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:218,packages/architecture-lab/domain/test/Worker.test.ts	safe-delete	Generated model-construction boilerplate.
packages/architecture-lab/domain/dtslint/WorkItem.tst.ts	@beep/architecture-lab-domain	generated	Constructs WorkItem and checks WorkItem plus status types.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:176,packages/architecture-lab/domain/test/WorkItem.test.ts	safe-delete	Generated model-construction boilerplate.
packages/architecture-lab/domain/dtslint/WorkPriority.tst.ts	@beep/architecture-lab-domain	generated	Checks defaultWorkPriority type and Enum.high literal.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:255,packages/architecture-lab/domain/test/WorkPriority.test.ts	safe-delete	Generated literal-helper smoke coverage; runtime test exercises the same value family.
packages/architecture-lab/server/dtslint/WorkerServer.tst.ts	@beep/architecture-lab-server	generated	Smoke-checks WorkerServer export is not never.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:504,packages/architecture-lab/server/test/WorkerServer.test.ts	safe-delete	Generated export smoke test.
packages/architecture-lab/server/dtslint/WorkItemServer.tst.ts	@beep/architecture-lab-server	generated	Smoke-checks WorkItemServerLayer export is not never.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:444,packages/architecture-lab/server/test/WorkItemServer.test.ts	safe-delete	Generated export smoke test.
packages/architecture-lab/tables/dtslint/WorkerTable.tst.ts	@beep/architecture-lab-tables	generated	Checks generated Worker table id column name is string.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:640,packages/architecture-lab/tables/test/WorkerTable.test.ts	safe-delete	Generated table smoke test; it does not pin a literal or row projection.
packages/architecture-lab/tables/dtslint/WorkItemTable.tst.ts	@beep/architecture-lab-tables	generated	Checks generated WorkItem table id column name is string.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:610,packages/architecture-lab/tables/test/WorkItemTable.test.ts	safe-delete	Generated table smoke test; it does not pin a literal or row projection.
packages/architecture-lab/ui/dtslint/WorkItemViewModel.tst.ts	@beep/architecture-lab-ui	generated	Smoke-checks WorkItemSummaryViewModel export is not never.	no	covered	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:704,packages/architecture-lab/ui/test/WorkItemViewModel.test.ts	safe-delete	Generated export smoke test.
packages/architecture-lab/use-cases/dtslint/Worker.tst.ts	@beep/architecture-lab-use-cases	generated	Checks CreateWorkerCommand construction and that repository/factory/error mapper stay out of the public namespace.	no	partial	packages/tooling/tool/cli/src/commands/Architecture/internal/AcceptedProofManifest.ts:394,packages/architecture-lab/use-cases/test/Worker.test.ts,packages/architecture-lab/use-cases/test/SchemaParity.test.ts	safe-delete	Generated public-boundary template; no bespoke contract beyond scaffold topology.
